"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\Three_Project\src\core\AppState.js", "JavaScript", 55, 14, 8, 77
"d:\Three_Project\src\core\InteractionController.js", "JavaScript", 88, 9, 19, 116
"d:\Three_Project\src\core\SceneManager.js", "JavaScript", 88, 7, 14, 109
"d:\Three_Project\src\core\StepController.js", "JavaScript", 65, 168, 55, 288
"d:\Three_Project\src\data\chapterStates.js", "JavaScript", 131, 13, 5, 149
"d:\Three_Project\src\data\tubeConfig.js", "JavaScript", 78, 17, 2, 97
"d:\Three_Project\src\objects\IceBox.js", "JavaScript", 198, 19, 29, 246
"d:\Three_Project\src\objects\MicroTube.js", "JavaScript", 123, 73, 30, 226
"d:\Three_Project\src\objects\Pipette.js", "JavaScript", 339, 309, 80, 728
"d:\Three_Project\src\objects\TipBox.js", "JavaScript", 140, 209, 42, 391
"d:\Three_Project\src\scenes\ThawingScene.js", "JavaScript", 152, 18, 30, 200
"d:\Three_Project\src\scenes\steps\index.js", "JavaScript", 9, 58, 8, 75
"d:\Three_Project\src\scenes\steps\injectionSteps.js", "JavaScript", 240, 96, 55, 391
"d:\Three_Project\src\scenes\steps\thawingSteps.js", "JavaScript", 28, 108, 18, 154
"d:\Three_Project\src\ui\ChapterNav.js", "JavaScript", 39, 4, 9, 52
"d:\Three_Project\src\ui\DialPanel.js", "JavaScript", 144, 7, 27, 178
"d:\Three_Project\src\ui\Sidebar.js", "JavaScript", 78, 8, 8, 94
"d:\Three_Project\src\ui\StepControl.js", "JavaScript", 54, 69, 37, 160
"d:\Three_Project\src\ui\Subtitle.js", "JavaScript", 21, 81, 9, 111
"d:\Three_Project\src\ui\Tooltip.js", "JavaScript", 56, 8, 7, 71
"Total", "-", 2126, 1295, 492, 3913
